"Functional_Group","Classification","Intercept","Effect","Predicted_Log","Predicted"
"Herbivore","Shipwreck",4.78525497477523,0,4.78525497477523,119.731887803357
"Herbivore","Fringing",4.78525497477523,0.406942399501743,5.19219737427697,179.863346108903
"Herbivore","Pinnacle",4.78525497477523,0.608470729405466,5.3937257041807,220.021595782114
"Invertivore","Shipwreck",4.28717301140825,0,4.28717301140825,72.7604844201083
"Invertivore","Fringing",4.28717301140825,0.0254352213815098,4.31260823278976,74.6349004895606
"Invertivore","Pinnacle",4.28717301140825,0.528852089951649,4.81602510135989,123.473320125805
"Mesopredator","Shipwreck",5.21881901081587,0,5.21881901081587,184.715907715897
"Mesopredator","Fringing",5.21881901081587,-0.56234871826331,4.65647029255256,105.263874968434
"Mesopredator","Pinnacle",5.21881901081587,0.375786140560356,5.59460515137623,268.971426125013
"HTLP","Shipwreck",3.91543579860536,0,3.91543579860536,50.1709311693198
"HTLP","Fringing",3.91543579860536,-1.00520031707751,2.91023548152786,18.3611217629874
"HTLP","Pinnacle",3.91543579860536,0.161308653016673,4.07674445162203,58.9532320010445
